2020-01-21 14:25:06,367 verified
2020-01-21 14:46:50,589 verified
2020-01-21 14:46:51,805 verified
2020-01-21 14:47:16,853 verified
2020-01-21 14:47:17,978 verified
2020-01-21 14:47:41,296 verified
2020-01-21 14:47:42,477 verified
2020-01-21 14:48:43,498 verified
2020-01-21 14:48:44,632 verified
2020-01-21 14:49:09,524 verified
2020-01-21 14:49:10,648 verified
2020-01-21 14:53:43,030 verified
2020-01-21 14:53:44,323 verified
2020-01-21 14:59:34,703 verified
2020-01-21 15:01:01,292 23 verified
2020-01-21 15:01:02,454 23 verified
2020-01-21 15:02:48,976   verified 23 c:\Users\giche\Desktop\protect\twitter_bot\config.py 
2020-01-21 15:02:50,204   verified 23 c:\Users\giche\Desktop\protect\twitter_bot\config.py 
